I,Q
-0.82357685,0.77720014
-0.67910581,0.64278418
-0.46168352,0.44632976
-0.19303308,0.20684630
0.09734755,-0.05121140
0.37587229,-0.30090064
0.60927056,-0.51601315
0.76907025,-0.67411094
0.83741691,-0.76089639
0.80255534,-0.76454030
0.66954909,-0.68581858
0.45441492,-0.53243004
0.18282735,-0.31871956
-0.11357984,-0.06374820
-0.40171383,0.21092782
-0.65163913,0.48344833
-0.84253291,0.73162090
-0.95829278,0.94158181
-0.99838137,1.09908690
-0.97211005,1.19511454
-0.89754965,1.22483296
-0.79812290,1.18740813
-0.69849272,1.08575161
-0.62042119,0.92629547
-0.57734006,0.71688503
-0.57926055,0.47381284
-0.62236657,0.21188657
-0.69501747,-0.05095411
-0.77891663,-0.29563517
-0.85236327,-0.50326833
-0.89398295,-0.65677486
-0.88631071,-0.74265910
-0.82056873,-0.75077348
-0.69111479,-0.68287904
-0.50532553,-0.54373408
-0.27728021,-0.34614652
-0.02654730,-0.10883314
0.22483178,0.14553617
0.45559711,0.39294434
0.64822389,0.61095169
0.79303791,0.78344906
0.88210383,0.89572652
0.91877417,0.94547794
0.91135501,0.93784492
0.87222845,0.88548255
0.81550162,0.80643568
0.75466060,0.72116857
0.70063222,0.64919990
0.66247352,0.60395076
0.63974745,0.59741183
0.63255001,0.62906251
0.63736109,0.69094474
0.64948923,0.76787069
0.66445042,0.83990353
0.67901877,0.88568016
0.69174493,0.88603772
0.70095186,0.82927126
0.71136957,0.70638432
0.72361602,0.52190749
0.73844444,0.28842700
0.75497936,0.02591641
0.77049322,-0.24118310
0.78079124,-0.48762265
0.78116091,-0.69114876
0.76576924,-0.83775016
0.73628502,-0.91672184
0.69337613,-0.93116765
0.64240089,-0.89215660
0.59201202,-0.81771019
0.55294567,-0.72964524
0.53609079,-0.64984174
0.55014936,-0.59655795
0.60124725,-0.58332669
0.68389775,-0.60984564
0.78975184,-0.67115560
0.90279112,-0.75351599
1.00211530,-0.83784137
1.06483991,-0.90295966
1.06975000,-0.92917920
1.00113742,-0.90157208
0.85408543,-0.81436495
0.62844466,-0.66393063
0.34432602,-0.46352242
0.02614204,-0.22709171
-0.29206369,0.02484626
-0.57297700,0.27019874
-0.78132529,0.48850063
-0.88926187,0.66374559
-0.88288304,0.78833105
-0.75697534,0.85570992
-0.53074825,0.87497354
-0.23159517,0.85475655
0.10029230,0.80943465
0.41929500,0.75467451
0.68081625,0.70488755
0.84776629,0.67107076
0.89800460,0.65742801
0.81974690,0.66907275
0.62765768,0.69751299
0.34668877,0.73650070
0.01654794,0.77530176
-0.31596051,0.80240685
-0.60373583,0.80725226
-0.80621227,0.78161083
-0.89326274,0.71855427
-0.85742417,0.62104703
-0.70055385,0.48690474
-0.44744819,0.32297407
-0.13395742,0.13603324
0.19647487,-0.06605614
0.49910384,-0.27490747
0.73410911,-0.48188130
0.86990616,-0.68002381
0.89285731,-0.85775028
0.80428283,-1.00312579
0.61527423,-1.10836048
0.35015608,-1.16409515
0.04047478,-1.16221406
-0.27972133,-1.09709032
-0.57847112,-0.96701560
-0.83160584,-0.77362120
-1.01696224,-0.52901331
-1.13019103,-0.25164396
-1.16948665,0.03873323
-1.14221321,0.31653435
-1.06054152,0.55482802
-0.93873547,0.72851869
-0.79066452,0.81773403
-0.62601667,0.81282764
-0.45548884,0.71043311
-0.28632572,0.51880318
-0.11864526,0.26158911
0.04714868,-0.03055387
0.21088591,-0.32164551
0.37138444,-0.57493064
0.52563960,-0.75774239
0.67052866,-0.84403747
0.79700427,-0.82395890
0.89533302,-0.70121008
0.96059106,-0.48850754
0.98758589,-0.21167220
0.97363596,0.09602617
0.91899348,0.39867918
0.82676406,0.66290070
0.70044295,0.86446988
0.55133173,0.98360435
0.38272251,1.02163348
0.20378560,0.98607893
0.02065280,0.89687771
-0.16185898,0.78076767
-0.33998921,0.66656158
-0.51041308,0.58015928
-0.67137123,0.53819090
-0.81366712,0.55105981
-0.93508651,0.61722889
-1.02570329,0.71954340
-1.07684406,0.83404946
-1.08033227,0.93220201
-1.02996000,0.98582418
-0.92300603,0.97207794
-0.76342920,0.87570423
-0.55433953,0.69788951
-0.31286226,0.45264399
-0.05459141,0.16113658
0.19962554,-0.14523811
0.42772570,-0.43123943
0.60889011,-0.66286105
0.72599851,-0.81223976
0.76964137,-0.86355646
0.73125333,-0.80720476
0.61847398,-0.65519363
0.43994486,-0.42501919
0.21230929,-0.14495293
-0.04371225,0.15207918
-0.30575095,0.43323485
-0.55229107,0.67029806
-0.76296777,0.84526498
-0.92641051,0.94640467
-1.03677095,0.97317941
-1.08945020,0.93943984
-1.08667075,0.86458163
-1.03439977,0.77181910
-0.94091484,0.68415349
-0.81535761,0.62061306
-0.66843971,0.59526942
-0.50542983,0.60940531
-0.33017238,0.65570176
-0.14954199,0.72382393
0.03234572,0.79656371
0.21165399,0.85477997
0.38429340,0.88057768
0.54556800,0.86013805
0.69202252,0.78769922
0.81547650,0.65829215
0.90787362,0.48246185
0.96626998,0.27035802
0.98725385,0.03814471
0.96933821,-0.19624622
0.91318518,-0.41550867
0.82154145,-0.60506193
0.69698078,-0.75264835
0.54757285,-0.85738702
0.38192144,-0.91493817
0.20427170,-0.93159330
0.02036485,-0.91479469
-0.16457628,-0.87366739
-0.34569587,-0.81769859
-0.51818316,-0.75568945
-0.67497688,-0.69316839
-0.81476126,-0.63832151
-0.92706744,-0.59768989
-1.00728361,-0.57206817
-1.04889982,-0.56301417
-1.04626202,-0.57114963
-0.99558645,-0.59619995
-0.89596892,-0.63682913
-0.75209610,-0.68840538
-0.56633644,-0.75094260
-0.35338889,-0.81405596
-0.12472822,-0.87179640
0.10439438,-0.91477300
0.31855805,-0.93292142
0.50401889,-0.91673317
0.65042598,-0.85870455
0.75404045,-0.75284079
0.81218375,-0.60198403
0.82746198,-0.41403827
