I,Q
-0.47501197,0.29440936
-0.66756938,0.27335489
-0.77332383,0.27520531
-0.85899355,0.29983053
-0.87767247,0.36309515
-0.80184786,0.44191424
-0.69656893,0.50269963
-0.55630374,0.60576950
-0.33118561,0.66366288
-0.12624716,0.73630544
0.09041405,0.77121717
0.32370010,0.75559859
0.50998533,0.74605036
0.67844720,0.69179919
0.80657250,0.60040192
0.91164436,0.50732650
0.95744912,0.36758269
0.95195784,0.16481627
0.89571251,-0.02487187
0.81246834,-0.23147502
0.67864258,-0.45710264
0.50742717,-0.65980205
0.33003615,-0.83416226
0.17053173,-0.95558143
-0.03031416,-1.02566212
-0.14655475,-1.03798224
-0.26065640,-0.97667958
-0.30432388,-0.85132731
-0.33373272,-0.67462286
-0.28611655,-0.41291041
-0.21899558,-0.16943646
-0.10589176,0.12179898
0.02411008,0.37962288
0.13573077,0.58013022
0.25853217,0.75039340
0.31884721,0.87621463
0.37519379,0.88022393
0.38628903,0.82839195
0.35117360,0.74867817
0.30083734,0.58829743
0.19115405,0.40596314
0.09438460,0.25319977
0.01209855,0.07421484
-0.91095368,0.29400823
-0.75240478,0.23289554
-0.51738174,0.17791836
-0.23548726,0.08868291
0.10111284,-0.02902662
0.38678375,-0.08709311
0.66892483,-0.17168622
0.86682428,-0.21604136
0.92646382,-0.26698685
0.90341425,-0.27883011
0.76180874,-0.28248425
0.52724049,-0.24582528
0.25230649,-0.17577569
-0.07397236,-0.09461260
-0.39996470,0.02482573
-0.66079578,0.12476728
-0.91371716,0.23215750
-1.07950803,0.35296055
-1.17595427,0.47583408
-1.19057685,0.54727822
-1.13357699,0.59695134
-1.05384369,0.61806201
-0.93430542,0.55773376
-0.82242702,0.45184467
-0.71264551,0.32182923
-0.63365426,0.14644935
-0.57393815,-0.07458206
-0.51340283,-0.31556325
-0.48211075,-0.50802812
-0.47326004,-0.70259515
-0.43446888,-0.83313729
-0.39513768,-0.89551946
-0.36381296,-0.89422927
-0.27812090,-0.77778419
-0.17565142,-0.59573719
-0.07660132,-0.35689199
0.00936535,-0.08568544
0.11773599,0.20092156
0.20838982,0.45406671
0.26988294,0.71018106
0.30581108,0.88695406
0.32702652,1.02861393
0.33413227,1.07895035
0.34202936,1.04962485
0.32910123,1.00409754
0.32003102,0.92548682
0.30092914,0.84415295
0.29384589,0.74322366
0.27459048,0.68905754
0.26649350,0.69799550
0.24961150,0.69368472
0.21269726,0.76950379
0.18228863,0.83696533
0.19941335,0.90388227
0.17984756,0.92567678
0.16937542,0.93870430
0.20779411,0.90409472
0.27730975,0.79660633
0.34647947,0.68229654
0.44465878,0.50452301
0.57682086,0.30305462
0.66647598,0.11404937
0.77133873,-0.07149498
0.85990695,-0.21624841
0.90643834,-0.34445262
0.91562005,-0.40950190
0.89293225,-0.44516202
0.83229133,-0.43812348
0.76847183,-0.38978023
0.69756346,-0.34857321
0.65733890,-0.27743905
0.64795724,-0.23354185
0.68268859,-0.21716523
0.76114845,-0.19530794
0.86286872,-0.21039414
0.97523890,-0.23708031
1.07457822,-0.25207356
1.15610290,-0.27124639
1.16910539,-0.28310669
1.10880254,-0.29219377
0.98397713,-0.27538196
0.72773659,-0.26783405
0.44461824,-0.22043066
0.11872262,-0.14505352
-0.22942126,-0.11413377
-0.51475938,-0.02333847
-0.78434110,0.05410201
-0.92716304,0.15294984
-0.98219590,0.24686108
-0.90900217,0.35693091
-0.73980825,0.45604016
-0.50023254,0.54178244
-0.23744473,0.64429723
0.03392335,0.73352080
0.23697859,0.80568116
0.37355952,0.86253872
0.44690541,0.85474173
0.35995939,0.81582548
0.19255872,0.77123010
-0.03457276,0.69317373
-0.30138669,0.58577719
-0.54405160,0.48537266
-0.77598790,0.34830538
-0.91366475,0.27734666
-0.95642067,0.18500253
-0.88313247,0.12904161
-0.72794997,0.10530985
-0.47503699,0.05416913
-0.15228070,0.05229830
0.17998705,0.03577130
0.48756166,-0.00807312
0.73479245,-0.08864913
0.93021302,-0.15416124
1.00363795,-0.29411681
0.99688171,-0.44138255
0.89233404,-0.59291853
0.73770716,-0.74034975
0.49768903,-0.86961084
0.23113844,-0.93401745
-0.03832854,-0.96243050
-0.28942937,-0.90500664
-0.57086568,-0.79654009
-0.75629084,-0.62230612
-0.89995001,-0.43845224
-0.99230362,-0.22516631
-1.02812784,-0.02067363
-0.99815045,0.19459639
-0.93182050,0.30500770
-0.79087488,0.35321368
-0.62497250,0.36809644
-0.41730439,0.28836562
-0.18850623,0.13526790
0.05361338,-0.01158762
0.28314675,-0.15809656
0.52991351,-0.29300027
0.70002320,-0.35832992
0.82235709,-0.35661120
0.91778998,-0.31141753
0.93489666,-0.16303043
0.91597793,0.03156645
0.82354251,0.24236047
0.68582560,0.46267071
0.54779211,0.66158188
0.35755335,0.83740524
0.18332585,0.91742642
0.00686276,0.96073729
-0.13560950,0.91903038
-0.24505301,0.83119328
-0.34491340,0.67337645
-0.45500828,0.51355768
-0.52544458,0.34858710
-0.61608323,0.23169936
-0.72178007,0.12639719
-0.83936208,0.07380023
-0.95418544,0.07475597
-1.05975785,0.12721689
-1.14176020,0.17528801
-1.17911186,0.24771846
-1.15858586,0.32695501
-1.08699548,0.34915771
-0.93042184,0.35296095
-0.69320945,0.29184836
-0.41156449,0.21046485
-0.11068342,0.09956516
0.21599553,-0.01315054
0.50461239,-0.13424681
0.73735058,-0.23446785
0.89057073,-0.31565883
